Latitude,Longitude,2023 Rides,2022 Rides,2021 Rides,2020 Rides,2019 Rides,2018 Rides,2017 Rides,Municipality,Municipality
42.5773° N,70.7678° W,6294,4581,2730,2357,7092,5017,3353,Manchester,Manchester
42.0334° N,71.2189° W,77060,49486,31884,26289,63682,50394,30986,Mansfield,Mansfield
42.5001° N,70.8578° W,70680,49206,28945,23642,78113,61996,43184,Marblehead,Marblehead
41.7034° N,70.7634° W,3400,2001,1099,1125,2430,1465,852,Marion,Marion
42.3456° N,71.5523° W,198318,123689,85983,83125,184387,132263,84122,Marlborough,Marlborough
42.0912° N,70.7051° W,26741,18722,13126,11072,26384,16795,9019,Marshfield,Marshfield
41.6484° N,70.4812° W,32885,23321,18500,11707,22262,17617,12880,Mashpee,Mashpee
41.6623° N,70.8165° W,4674,2913,1389,1087,2306,1533,749,Mattapoisett,Mattapoisett
42.4334° N,71.4551° W,17730,11410,7278,6240,14001,9684,6295,Maynard,Maynard
42.1873° N,71.3065° W,15163,11161,6508,5357,14711,10229,7347,Medfield,Medfield
42.4184° N,71.1065° W,1021686,819583,569347,526024,1361292,1221229,966710,Medford,Medford
42.1412° N,71.3965° W,11681,6376,3989,4140,8875,6294,3326,Medway,Medway
42.4565° N,71.0662° W,188265,147105,102745,90492,207087,172571,129355,Melrose,Melrose
42.1051° N,71.5523° W,2692,2021,905,1068,2661,1886,907,Mendon,Mendon
42.8334° N,71.0034° W,4295,3548,2959,2180,3402,2341,1386,Merrimac,Merrimac
42.7301° N,71.1901° W,330895,225827,169201,126415,197190,150292,104578,Methuen,Methuen
41.8934° N,70.9178° W,27726,19697,13890,10719,16862,11114,5241,Middleborough,Middleborough
42.3434° N,72.9134° W,0,0,0,0,0,1,0,Middlefield,Middlefield
42.6012° N,71.0165° W,27943,21227,13377,8671,21790,17054,11809,Middleton,Middleton
42.1412° N,71.5165° W,51215,32462,22884,26525,51002,31475,16515,Milford,Milford
42.1945° N,71.7601° W,50006,35208,23020,18828,39792,32023,20164,Millbury,Millbury
42.1684° N,71.3545° W,8093,5461,3823,3261,6529,4483,3138,Millis,Millis
42.0334° N,71.5823° W,627,359,386,294,776,486,213,Millville,Millville
42.2501° N,71.0662° W,197080,151821,103419,88883,212776,173227,138761,Milton,Milton
42.7165° N,72.9334° W,0,0,0,0,0,0,0,Monroe,Monroe
42.1045° N,72.3189° W,540,222,89,220,1271,996,566,Monson,Monson
42.5351° N,72.5351° W,159,131,68,132,598,473,314,Montague,Montague
42.1834° N,73.2189° W,11,3,0,2,6,3,4,Monterey,Monterey
42.1834° N,72.8334° W,4,21,0,4,19,5,11,Montgomery,Montgomery
42.1001° N,73.4334° W,0,0,0,0,0,1,0,Mount Washington,Mount Washington
42.4265° N,70.9289° W,13288,10957,7245,5902,15170,11600,8948,Nahant,Nahant
41.2835° N,70.0995° W,346950,281611,175155,102572,366174,295596,184136,Nantucket,Nantucket
42.2834° N,71.3495° W,237151,172128,113908,99711,249849,200747,153110,Natick,Natick
42.2801° N,71.2401° W,207573,158597,95074,76039,213900,170592,124775,Needham,Needham
42.6165° N,73.2165° W,7,2,1,5,16,8,8,New Ashford,New Ashford
41.6362° N,70.9345° W,501688,326503,234531,190009,281498,164937,64621,New Bedford,New Bedford
42.3165° N,72.1501° W,23,6,3,3,4,9,1,New Braintree,New Braintree
42.1001° N,73.2165° W,6,1,1,1,3,0,11,New Marlborough,New Marlborough
42.4665° N,72.3334° W,17,3,2,0,3,6,5,New Salem,New Salem
42.8001° N,70.8665° W,6193,4792,3088,3043,7753,5838,4343,Newbury,Newbury
42.8123° N,70.8778° W,34332,23191,16582,19569,55704,40848,26196,Newburyport,Newburyport
42.3370° N,71.2092° W,1157852,905692,554969,493207,1439112,1292503,1051030,Newton,Newton
42.1195° N,71.3251° W,10120,7029,4350,3987,10288,7614,4468,Norfolk,Norfolk
42.7001° N,73.1089° W,322,352,150,155,799,710,431,North Adams,North Adams
42.6984° N,71.1351° W,122578,84755,60019,46582,96793,74917,55409,North Andover,North Andover
41.9834° N,71.3334° W,97004,64802,46275,35861,60857,45627,25230,North Attleborough,North Attleborough
42.2665° N,72.0834° W,369,212,113,154,306,203,127,North Brookfield,North Brookfield
42.5751° N,71.0789° W,43926,32202,19501,16660,36897,25839,17965,North Reading,North Reading
42.3251° N,72.6412° W,35651,25445,11185,23835,98354,83128,61570,Northampton,Northampton
42.3195° N,71.6412° W,41963,29819,22781,17640,35870,28986,19988,Northborough,Northborough
42.1501° N,71.6501° W,10715,7945,4907,5624,11367,7230,3570,Northbridge,Northbridge
42.6954° N,72.4526° W,9,7,3,3,15,14,13,Northfield,Northfield
41.9668° N,71.1861° W,36361,25202,18132,14852,25549,17089,11305,Norton,Norton
42.1618° N,70.8217° W,27533,20325,13648,11139,23538,17305,11215,Norwell,Norwell
42.1945° N,71.1995° W,255458,181542,123074,99935,192738,148620,99884,Norwood,Norwood
41.4543° N,70.5614° W,83471,68782,51077,29810,83948,70256,36770,Oak Bluffs,Oak Bluffs
42.3537° N,72.0481° W,162,57,18,24,86,56,39,Oakham,Oakham
42.5906° N,72.3098° W,86,46,19,24,45,40,24,Orange,Orange
41.7896° N,69.9900° W,14051,9689,6270,4037,12240,9565,6228,Orleans,Orleans
42.1895° N,73.0876° W,15,1,0,0,3,3,6,Otis,Otis
42.1165° N,71.8659° W,15191,11110,6411,6681,11518,8302,4220,Oxford,Oxford
42.1584° N,72.3287° W,2994,1684,656,1432,4409,3762,1876,Palmer,Palmer
42.3084° N,71.9298° W,3459,2680,1261,1609,3912,3721,2018,Paxton,Paxton
42.5279° N,70.9287° W,397321,286552,202903,164686,311797,240564,177346,Peabody,Peabody
42.3934° N,72.4648° W,299,285,66,177,880,852,655,Pelham,Pelham
42.0712° N,70.8098° W,23701,16701,11502,9260,17979,12406,7110,Pembroke,Pembroke
42.6656° N,71.6065° W,1788,1482,896,1284,2045,1170,570,Pepperell,Pepperell
42.3976° N,73.0967° W,4,3,0,0,20,75,51,Peru,Peru
42.5054° N,72.1640° W,24,11,5,8,19,24,5,Petersham,Petersham
42.5710° N,72.0856° W,95,45,25,29,57,20,8,Phillipston,Phillipston
42.4501° N,73.2453° W,10694,8231,2869,11514,42888,27189,10198,Pittsfield,Pittsfield
42.5252° N,72.9921° W,1,1,0,0,2,1,1,Plainfield,Plainfield
42.0274° N,71.3586° W,29955,17699,13061,10064,19195,14869,7841,Plainville,Plainville
41.9584° N,70.6673° W,147560,94210,64974,56163,115848,76095,38451,Plymouth,Plymouth
41.9555° N,70.7070° W,1984,1385,1122,772,1645,756,506,Plympton,Plympton
42.5222° N,71.8734° W,400,528,349,221,540,345,272,Princeton,Princeton
42.0678° N,70.1798° W,26765,19434,14596,6819,55065,48862,17382,Provincetown,Provincetown
42.2529° N,71.0023° W,1301725,973383,705761,645152,1428472,1245094,957311,Quincy,Quincy
42.1812° N,71.0389° W,374203,270321,213361,173276,268293,204084,137713,Randolph,Randolph
41.9534° N,71.0863° W,62496,39643,29829,21739,29728,21624,9518,Raynham,Raynham
42.5362° N,71.1077° W,92961,64568,42452,34988,83359,62540,45304,Reading,Reading
41.8670° N,71.1906° W,7920,5203,3539,3510,5885,3686,2492,Rehoboth,Rehoboth
42.4084° N,71.0117° W,1226400,917287,615417,540738,1132605,942044,722136,Revere,Revere
42.3673° N,73.3622° W,39,49,23,41,194,227,149,Richmond,Richmond
41.9300° N,70.8624° W,1587,971,554,575,653,258,219,Rochester,Rochester
42.1942° N,70.9288° W,82246,59944,42132,34638,59924,44289,26884,Rockland,Rockland
42.6556° N,70.6216° W,3563,2081,1033,968,3591,2604,1253,Rockport,Rockport
42.6613° N,72.9750° W,0,0,0,0,0,0,0,Rowe,Rowe
42.7340° N,70.7912° W,5720,4228,2962,2729,5631,3012,1989,Rowley,Rowley
42.6691° N,72.2582° W,10,2,1,4,4,2,0,Royalston,Royalston
42.2371° N,72.7812° W,93,41,6,20,124,140,71,Russell,Russell
42.4075° N,71.9230° W,2536,1872,754,1149,2089,1574,1124,Rutland,Rutland
42.5195° N,70.8967° W,599599,434849,279290,210721,484216,384148,296482,Salem,Salem
42.8508° N,70.8503° W,18624,13020,9324,8750,21886,14661,9109,Salisbury,Salisbury
42.0702° N,73.2610° W,2,0,0,0,0,5,1,Sandisfield,Sandisfield
